1424-0.txt,0,1
pg35638.txt,1,2
158-0.txt,2,2
pg105.txt,2,2
1342-0.txt,2,2
121-0.txt,2,2
pg1473.txt,2,2
pg4964.txt,2,2
82-0.txt,2,2
pg42324.txt,0,2
pg15238.txt,0,2
940-0.txt,2,3
pg11409.txt,2,3
6450-0.txt,2,3
pg9785.txt,3,3
pg20749.txt,3,3
5959-0.txt,3,3
pg18247.txt,1,3
pg10363.txt,2,4
pg730.txt,1,4
580-0.txt,0,4
967-0.txt,1,4
pg1927.txt,1,5
3285-0.txt,3,5
24022-0.txt,1,5
766-0.txt,2,5
325-0.txt,1,6
5773-0.txt,2,7
pg41552.txt,1,8
225-0.txt,2,8
pg34339.txt,2,8
244-0.txt,1,9
pg2097.txt,1,9
pg42599.txt,2,9
pg42756.txt,2,9
pg42498.txt,2,9
834-0.txt,1,10
pg1661.txt,1,10
9154-0.txt,4,10
8886-0.txt,4,10
1640-0.txt,4,10
pg34627.txt,2,11
863-0.txt,0,12
1245-0.txt,2,12
144-0.txt,2,12
pg47506.txt,3,12
pg139.txt,3,12
pg1638.txt,3,12
